Category,Department + Course Number,Distributions
CA,ANTHR 3487,"['CA-AS', 'SCD-AS', 'SSC-AS']"
CA,ANTHR 3516,"['CA-AS', 'GLC-AS', 'SCD-AS']"
CA,ANTHR 3552,"['CA-AS', 'HST-AS', 'SCD-AS']"
CA,ANTHR 3590,"['CA-AS', 'ALC-AS', 'HST-AS']"
CA,ANTHR 3680,"['CA-AS', 'SCD-AS']"
CA,ANTHR 3703,"['CA-AS', 'GLC-AS']"
CA,ANTHR 3777,"['CA-AS', 'HST-AS', 'SCD-AS']"
CA,ANTHR 3950,"['CA-AS', 'ALC-AS']"
CA,ANTHR 4005,"['CA-AS', 'SCD-AS', 'SSC-AS']"
CA,ANTHR 4013,"['CA-AS', 'SCD-AS']"
CA,ANTHR 4030,"['CA-AS', 'HST-AS', 'SCD-AS']"
CA,ANTHR 4176,"['CA-AS', 'GLC-AS', 'SCD-AS']"
CA,ANTHR 4222,"['CA-AS', 'GLC-AS']"
CA,ANTHR 4227,"['CA-AS', 'SCD-AS']"
CA,ANTHR 4240,"['CA-AS', 'ALC-AS', 'GLC-AS']"
CA,ANTHR 4256,"['ALC-AS', 'CA-AS']"
CA,ANTHR 4402,"['CA-AS', 'SCD-AS', 'SSC-AS']"
CA,ANTHR 4413,"['CA-AS', 'ALC-AS', 'HST-AS']"
CA,ANTHR 4416,"['CA-AS', 'SSC-AS']"
CA,ANTHR 4418,"['CA-AS', 'ALC-AS', 'SSC-AS']"
CA,ANTHR 4434,"['CA-AS', 'SCD-AS']"
CA,ANTHR 4435,"['CA-AS', 'GLC-AS', 'SSC-AS']"
CA,ANTHR 4437,"['CA-AS', 'GLC-AS', 'SCD-AS']"
CA,ANTHR 4442,['CA-AS']
CA,ANTHR 4448,"['CA-AS', 'SSC-AS']"
CA,ANTHR 4450,"['CA-AS', 'HST-AS']"
CA,ANTHR 4454,"['CA-AS', 'SCD-AS', 'SSC-AS']"
CA,ANTHR 4458,"['CA-AS', 'GLC-AS', 'SCD-AS']"
CA,ANTHR 4460,"['CA-AS', 'SCD-AS']"
CA,ANTHR 4464,"['CA-AS', 'SCD-AS']"
CA,ANTHR 4465,"['CA-AS', 'SCD-AS']"
CA,ANTHR 4467,"['CA-AS', 'ETM-AS', 'SCD-AS']"
CA,ANTHR 4469,"['CA-AS', 'ALC-AS']"
CA,ANTHR 4472,"['CA-AS', 'ALC-AS']"
