Category,Department + Course Number,Distributions
KCM,AEM 6455,"['D-HE', 'KCM-HE', 'SBA-HE']"
KCM,AIIS 2100,"['CA-AG', 'KCM-AG']"
KCM,AIIS 3330,"['CA-AG', 'D-AG', 'KCM-AG', 'SBA-AG']"
KCM,AMST 3121,"['KCM-AS', 'SSC-AS']"
KCM,AMST 3330,"['KCM-AS', 'ETM-AS']"
KCM,AMST 3735,['KCM-AS']
KCM,AMST 3785,"['KCM-AS', 'ETM-AS', 'SSC-AS']"
KCM,AMST 4021,"['KCM-AS', 'SSC-AS']"
KCM,AMST 4220,['KCM-AS']
KCM,ANTHR 4101,"['KCM-AS', 'SSC-AS']"
KCM,ARAB 4867,"['KCM-AS', 'HST-AS']"
KCM,ASIAN 2257,"['ETM-AS', 'KCM-AS']"
KCM,ASIAN 2273,"['KCM-AS', 'ETM-AS', 'GLC-AS']"
KCM,ASIAN 3316,"['KCM-AS', 'ALC-AS', 'HST-AS']"
KCM,ASIAN 3344,"['KCM-AS', 'ETM-AS']"
KCM,ASIAN 4412,"['KCM-AS', 'ETM-AS']"
KCM,ASIAN 4430,"['KCM-AS', 'ETM-AS']"
KCM,ASIAN 4449,"['KCM-AS', 'GLC-AS', 'HST-AS']"
KCM,ASL 2302,"['KCM-AS', 'ALC-AS', 'SCD-AS']"
KCM,ASRC 1650,"['KCM-AS', 'ETM-AS', 'SCD-AS']"
KCM,ASRC 3402,"['KCM-AS', 'ALC-AS']"
KCM,BSOC 2051,"['KCM-AS', 'ETM-AS', 'SCD-AS']"
KCM,BSOC 2061,"['KCM-AS', 'ETM-AS', 'SSC-AS']"
KCM,BSOC 4101,"['KCM-AS', 'SSC-AS']"
KCM,CLASS 1665,['KCM-AS']
KCM,CLASS 2661,"['KCM-AS', 'ETM-AS', 'HST-AS']"
KCM,CLASS 3661,"['KCM-AS', 'ETM-AS']"
KCM,CLASS 3664,"['KCM-AS', 'ETM-AS', 'HST-AS']"
KCM,CLASS 3669,"['KCM-AS', 'ETM-AS', 'HST-AS']"
KCM,CLASS 3674,"['KCM-AS', 'ETM-AS']"
KCM,CLASS 3676,"['KCM-AS', 'ALC-AS']"
KCM,CLASS 4662,"['KCM-AS', 'ETM-AS', 'HST-AS']"
KCM,COGST 1101,"['KCM-AS', 'ETM-AS']"
KCM,COGST 1105,"['KCM-AS', 'ETM-AS', 'SSC-AS']"
KCM,COGST 2090,"['KCM-AS', 'ETM-AS']"
KCM,COGST 2150,"['KCM-AS', 'ETM-AS']"
KCM,COGST 2200,"['KCM-AS', 'ETM-AS']"
KCM,COGST 2264,"['KCM-AS', 'BIO-AS', 'ETM-AS']"
KCM,COGST 2415,"['KCM-AS', 'ETM-AS']"
KCM,COGST 2621,"['KCM-AS', 'ETM-AS']"
KCM,COGST 3140,"['KCM-AS', 'ETM-AS']"
KCM,COGST 3160,"['KCM-AS', 'SSC-AS']"
KCM,COGST 3190,"['KCM-AS', 'ETM-AS']"
KCM,COGST 3302,"['KCM-AS', 'ETM-AS']"
KCM,COGST 3330,"['KCM-AS', 'ETM-AS']"
KCM,COGST 3420,"['KCM-AS', 'ETM-AS']"
KCM,COGST 4150,"['KCM-AS', 'ALC-AS', 'ETM-AS']"
KCM,COGST 4270,"['KCM-AS', 'ETM-AS']"
KCM,COGST 4331,"['KCM-AS', 'ETM-AS']"
KCM,COGST 4420,"['KCM-AS', 'ETM-AS']"
KCM,COGST 4425,"['KCM-AS', 'ETM-AS']"
KCM,COGST 4477,"['KCM-AS', 'SDS-AS']"
KCM,COGST 4510,"['KCM-AS', 'ALC-AS', 'ETM-AS']"
KCM,COGST 4625,"['KCM-AS', 'ETM-AS']"
KCM,COML 3781,"['KCM-AS', 'ETM-AS', 'SSC-AS']"
KCM,COML 4229,"['KCM-AS', 'ALC-AS', 'ETM-AS']"
KCM,COMM 3050,"['CA-AG', 'KCM-AG']"
KCM,COMM 3110,"['CA-AG', 'KCM-AG']"
KCM,COMM 4242,"['KCM-AG', 'SBA-AG']"
KCM,COMM 4300,"['CA-AG', 'KCM-AG']"
KCM,COMM 4350,"['KCM-AG', 'SBA-AG']"
KCM,COMM 4800,"['KCM-AG', 'SBA-AG']"
KCM,COMM 5300,"['CA-AG', 'KCM-AG']"
KCM,COMM 6710,['KCM-AG']
KCM,CS 1340,"['KCM-AS', 'ETM-AS', 'SDS-AS']"
KCM,CS 1710,"['KCM-AS', 'ETM-AS']"
KCM,DEA 2422,"['KCM-HE', 'LAD-HE']"
KCM,DEA 3308,"['KCM-HE', 'LAD-HE']"
KCM,DEA 4225,"['CA-HE', 'D-HE', 'HA-HE', 'KCM-HE', 'L']"
KCM,DEA 6210,"['HA-HE', 'D-HE', 'KCM-HE', 'LAD-HE', '']"
KCM,EDUC 2200,"['D-AG', 'KCM-AG']"
KCM,EDUC 2210,"['D-AG', 'KCM-AG']"
KCM,EDUC 3110,"['CA-AG', 'KCM-AG']"
KCM,EDUC 4050,"['KCM-AG', 'SBA-AG']"
KCM,EDUC 5223,"['CA-AG', 'KCM-AG']"
KCM,ENGL 4020,"['KCM-AS', 'ALC-AS']"
KCM,ENVS 3320,['KCM-AG']
KCM,FGSS 3651,"['KCM-AS', 'ETM-AS', 'SSC-AS']"
KCM,FGSS 4491,"['KCM-AS', 'ETM-AS', 'SCD-AS']"
KCM,FREN 3560,"['KCM-AS', 'ETM-AS', 'SSC-AS']"
KCM,FREN 4070,"['KCM-AS', 'ETM-AS']"
KCM,FREN 4540,"['KCM-AS', 'ALC-AS', 'ETM-AS']"
KCM,GDEV 2210,"['D-AG', 'KCM-AG']"
KCM,GDEV 3010,"['KCM-AG', 'SBA-AG']"
KCM,GDEV 3100,"['KCM-AG', 'SBA-AG']"
KCM,GDEV 3140,"['KCM-AG', 'SBA-AG']"
KCM,GDEV 3400,"['D-AG', 'KCM-AG', 'SBA-AG']"
KCM,GDEV 4700,"['KCM-AG', 'SBA-AG']"
KCM,GDEV 5223,"['CA-AG', 'KCM-AG']"
KCM,GDEV 5400,"['D-AG', 'KCM-AG', 'SBA-AG']"
KCM,GDEV 7001,"['HA-AG', 'KCM-AG']"
KCM,GERST 3561,"['KCM-AS', 'ETM-AS', 'SSC-AS']"
KCM,GERST 3580,"['KCM-AS', 'ETM-AS', 'HST-AS']"
KCM,GERST 3590,"['KCM-AS', 'ETM-AS']"
KCM,GOVT 2432,"['KCM-AS', 'ETM-AS', 'SCD-AS']"
KCM,GOVT 2605,"['KCM-AS', 'ETM-AS']"
KCM,GOVT 3052,['KCM-AS']
KCM,GOVT 3121,"['KCM-AS', 'SSC-AS']"
KCM,GOVT 3265,"['KCM-AS', 'SSC-AS']"
KCM,GOVT 3294,"['KCM-AS', 'SSC-AS']"
KCM,GOVT 3625,"['KCM-AS', 'ETM-AS', 'GLC-AS']"
KCM,GOVT 3626,['KCM-AS']
KCM,GOVT 3735,['KCM-AS']
KCM,GOVT 3736,"['KCM-AS', 'ALC-AS']"
KCM,GOVT 3785,"['KCM-AS', 'ETM-AS', 'SSC-AS']"
KCM,GOVT 4021,"['KCM-AS', 'SSC-AS']"
KCM,GREEK 4411,['KCM-AS']
KCM,GREEK 4455,['KCM-AS']
KCM,HD 1102,['KCM-HE']
KCM,HD 1120,"['KCM-HE', 'PBS-HE', 'SBA-HE']"
KCM,HD 2090,"['KCM-AS', 'ETM-AS']"
KCM,HD 2180,"['D-HE', 'KCM-HE', 'SBA-HE']"
KCM,HD 2200,"['KCM-HE', 'PBS-HE', 'SBA-HE']"
KCM,HD 3110,"['CA-HE', 'KCM-HE']"
KCM,HD 3190,"['KCM-HE', 'PBS-HE']"
KCM,HD 3210,"['D-HE', 'KCM-HE', 'PBS-HE', 'SBA-HE']"
KCM,HD 3330,['KCM-HE']
KCM,HD 3660,"['KCM-HE', 'PBS-HE', 'SBA-HE']"
KCM,HD 4380,"['D-HE', 'KCM-HE', 'LAD-HE']"
KCM,HD 4390,"['D-HE', 'KCM-HE', 'SBA-HE']"
KCM,HD 4550,"['CA-HE', 'D-HE', 'HA-HE', 'KCM-HE']"
KCM,HD 4765,"['KCM-HE', 'SBA-HE']"
KCM,HD 6190,"['KCM-HE', 'PBS-HE']"
KCM,HD 6765,"['KCM-HE', 'SBA-HE']"
KCM,HE 4901,"['CA-HE', 'D-HE', 'KCM-HE', 'SBA-HE']"
KCM,INFO 1260,"['KCM-AS', 'ETM-AS', 'SDS-AS']"
KCM,INFO 3140,"['KCM-AS', 'ETM-AS']"
KCM,INFO 4310,['KCM-AS']
KCM,INFO 4800,"['KCM-AG', 'SBA-AG', 'SBA-AS', 'SSC-A']"
KCM,JAPAN 4412,"['KCM-AS', 'ETM-AS']"
KCM,JWST 3535,"['KCM-AS', 'ETM-AS']"
KCM,KOREA 4430,"['KCM-AS', 'ETM-AS']"
KCM,LATIN 4452,['KCM-AS']
KCM,LEAD 3100,"['KCM-AG', 'SBA-AG']"
KCM,LEAD 5223,"['CA-AG', 'KCM-AG']"
KCM,LING 1101,"['KCM-AS', 'ETM-AS', 'SSC-AS']"
KCM,LING 1170,"['KCM-AS', 'ETM-AS']"
KCM,LING 2215,"['KCM-AS', 'ETM-AS']"
KCM,LING 2264,"['KCM-AS', 'BIO-AS', 'ETM-AS']"
KCM,LING 3302,"['KCM-AS', 'ETM-AS']"
KCM,LING 3303,"['KCM-AS', 'ETM-AS']"
KCM,LING 3324,"['KCM-AS', 'ALC-AS', 'SCD-AS']"
KCM,LING 3325,"['KCM-AS', 'GLC-AS']"
KCM,LING 3332,['KCM-AS']
KCM,LING 3333,"['KCM-AS', 'ETM-AS']"
KCM,LING 3344,"['KCM-AS', 'ETM-AS']"
KCM,LING 4400,['KCM-AS']
KCM,LING 4401,"['KCM-AS', 'ETM-AS']"
KCM,LING 4403,"['KCM-AS', 'ETM-AS']"
KCM,LING 4412,"['KCM-AS', 'ETM-AS']"
KCM,LING 4419,['KCM-AS']
KCM,LING 4421,"['KCM-AS', 'ETM-AS', 'SMR-AS']"
KCM,LING 4423,"['KCM-AS', 'ETM-AS']"
KCM,LING 4425,"['KCM-AS', 'ETM-AS']"
KCM,LING 4430,"['KCM-AS', 'ETM-AS']"
KCM,LING 4451,['KCM-AS']
KCM,LING 4452,['KCM-AS']
KCM,LING 4455,['KCM-AS']
KCM,LING 4477,"['KCM-AS', 'SDS-AS']"
KCM,MEDVL 3210,"['KCM-AS', 'ETM-AS', 'HST-AS']"
KCM,MUSIC 4181,"['KCM-AS', 'SSC-AS']"
KCM,NS 6455,"['D-HE', 'KCM-HE', 'SBA-HE']"
KCM,NTRES 3320,['KCM-AG']
KCM,NTRES 3330,"['CA-AG', 'D-AG', 'KCM-AG', 'SBA-AG']"
KCM,NTRES 4330,['KCM-AG']
KCM,NTRES 6330,"['CA-AG', 'D-AG', 'KCM-AG', 'SBA-AG']"
KCM,PADM 1449,"['HA-HE', 'KCM-HE', 'SBA-HE']"
KCM,PADM 1472,"['HA-HE', 'KCM-HE', 'SBA-HE']"
KCM,PADM 3730,"['KCM-HE', 'SBA-HE']"
KCM,PADM 5009,"['KCM-HE', 'SBA-HE']"
KCM,PADM 5019,"['KCM-HE', 'SBA-HE']"
KCM,PADM 5113,"['HA-HE', 'KCM-HE', 'SBA-HE']"
KCM,PADM 5114,"['KCM-HE', 'SBA-HE']"
KCM,PADM 5133,"['HA-HE', 'KCM-HE', 'SBA-HE']"
KCM,PADM 5313,"['KCM-HE', 'SBA-HE']"
KCM,PADM 5343,"['KCM-HE', 'SBA-HE']"
KCM,PADM 5383,"['KCM-HE', 'SBA-HE']"
KCM,PADM 5413,"['HD-HE,KCM-HE', 'SBA-HE']"
KCM,PADM 5414,"['KCM-HE', 'SBA-HE']"
KCM,PADM 5423,"['KCM-HE', 'SBA-HE']"
KCM,PADM 5441,"['KCM-HE', 'SBA-HE']"
KCM,PADM 5442,"['KCM-HE', 'SBA-HE']"
KCM,PADM 5443,['KCM-HE']
KCM,PADM 5444,"['KCM-HE', 'SBA-HE']"
KCM,PADM 5573,"['KCM-HE', 'SBA-HE']"
KCM,PADM 5634,"['CA-HE', 'HA-HE', 'KCM-HE', 'SBA-HE']"
KCM,PADM 5930,"['KCM-HE', 'SBA-HE']"
KCM,PADM 5951,"['KCM-HE', 'SBA-HE']"
KCM,PAM 2820,"['CA-HE', 'D-HE', 'HA-HE', 'KCM-HE', 'S']"
KCM,PAM 3410,"['HA-HE', 'KCM-HE', 'SBA-HE']"
KCM,PAM 3730,"['KCM-HE', 'SBA-HE']"
KCM,PAM 4160,"['CA-HE', 'D-HE', 'KCM-HE', 'SBA-HE']"
KCM,PHIL 1100,"['ETM-AS', 'KCM-AS']"
KCM,PHIL 1410,['KCM-AS']
KCM,PHIL 1440,"['ETM-AS', 'KCM-AS']"
KCM,PHIL 1450,"['ETM-AS', 'KCM-AS', 'SCD-AS']"
KCM,PHIL 1620,"['ETM-AS', 'KCM-AS']"
KCM,PHIL 1650,"['ETM-AS', 'KCM-AS', 'SCD-AS']"
KCM,PHIL 1960,"['ETM-AS', 'KCM-AS']"
KCM,PHIL 2200,"['ETM-AS', 'HST-AS', 'KCM-AS']"
KCM,PHIL 2220,"['ETM-AS', 'HST-AS', 'KCM-AS']"
KCM,PHIL 2240,"['ETM-AS', 'HST-AS', 'KCM-AS']"
KCM,PHIL 2300,"['KCM-AS', 'SMR-AS']"
KCM,PHIL 2410,"['ETM-AS', 'KCM-AS']"
KCM,PHIL 2415,"['ETM-AS', 'KCM-AS']"
KCM,PHIL 2420,"['ETM-AS', 'KCM-AS']"
KCM,PHIL 2430,"['ETM-AS', 'KCM-AS', 'SCD-AS']"
KCM,PHIL 2455,"['ETM-AS', 'KCM-AS']"
KCM,PHIL 2465,['KCM-AS']
KCM,PHIL 2530,"['ALC-AS', 'ETM-AS', 'KCM-AS']"
KCM,PHIL 2540,"['ETM-AS', 'KCM-AS']"
KCM,PHIL 2610,['KCM-AS']
KCM,PHIL 2611,['KCM-AS']
KCM,PHIL 2620,"['ETM-AS', 'KCM-AS']"
KCM,PHIL 2621,"['ETM-AS', 'KCM-AS']"
KCM,PHIL 2640,"['ETM-AS', 'KCM-AS']"
KCM,PHIL 2810,"['ETM-AS', 'KCM-AS']"
KCM,PHIL 2945,"['ETM-AS', 'KCM-AS', 'SSC-AS']"
KCM,PHIL 2960,"['ETM-AS', 'KCM-AS', 'SSC-AS']"
KCM,PHIL 3180,"['ETM-AS', 'KCM-AS']"
KCM,PHIL 3202,"['ETM-AS', 'HST-AS', 'KCM-AS']"
KCM,PHIL 3203,"['ETM-AS', 'HST-AS', 'KCM-AS']"
KCM,PHIL 3204,"['ETM-AS', 'KCM-AS']"
KCM,PHIL 3210,"['ETM-AS', 'HST-AS', 'KCM-AS']"
KCM,PHIL 3221,['KCM-AS']
KCM,PHIL 3222,"['ETM-AS', 'HST-AS', 'KCM-AS']"
KCM,PHIL 3230,"['ETM-AS', 'KCM-AS']"
KCM,PHIL 3231,"['ETM-AS', 'KCM-AS']"
KCM,PHIL 3250,"['ETM-AS', 'HST-AS', 'KCM-AS']"
KCM,PHIL 3403,['KCM-AS']
KCM,PHIL 3441,['KCM-AS']
KCM,PHIL 3460,"['ETM-AS', 'GLC-AS', 'KCM-AS']"
KCM,PHIL 3475,"['ETM-AS', 'KCM-AS']"
KCM,PHIL 3480,"['ETM-AS', 'KCM-AS']"
KCM,PHIL 3535,"['ETM-AS', 'KCM-AS']"
KCM,PHIL 3610,"['ETM-AS', 'KCM-AS']"
KCM,PHIL 3621,['KCM-AS']
KCM,PHIL 3640,['KCM-AS']
KCM,PHIL 3700,"['ETM-AS', 'KCM-AS']"
KCM,PHIL 3710,['KCM-AS']
KCM,PHIL 3810,['KCM-AS']
KCM,PHIL 4200,"['ETM-AS', 'HST-AS', 'KCM-AS']"
KCM,PHIL 4220,['KCM-AS']
KCM,PHIL 4261,"['ETM-AS', 'KCM-AS', 'SCD-AS']"
KCM,PHIL 4410,['KCM-AS']
KCM,PHIL 4490,"['ETM-AS', 'KCM-AS', 'SCD-AS']"
KCM,PHIL 4510,"[' ALC-AS', 'ETM-AS', 'KCM-AS']"
KCM,PHIL 4570,"['ETM-AS', 'KCM-AS']"
KCM,PHIL 4610,['KCM-AS']
KCM,PHIL 4611,"['ETM-AS', 'KCM-AS']"
KCM,PHIL 4620,"['ETM-AS', 'KCM-AS']"
KCM,PHIL 4640,['KCM-AS']
KCM,PHIL 4720,"['ETM-AS', 'KCM-AS']"
KCM,PHIL 4730,"['ETM-AS', 'KCM-AS', 'SMR-AS']"
KCM,PHIL 4941,['KCM-AS']
KCM,PSYCH 1102,"['ETM-AS', 'KCM-AS']"
KCM,PSYCH 2090,"['ETM-AS', 'KCM-AS']"
KCM,PSYCH 2150,"['ETM-AS', 'KCM-AS']"
KCM,PSYCH 2350,"['KCM-AS', 'SSC-AS']"
KCM,PSYCH 2415,"['ETM-AS', 'KCM-AS']"
KCM,PSYCH 2940,"['ETM-AS', 'KCM-AS', 'SSC-AS']"
KCM,PSYCH 3140,"['ETM-AS', 'KCM-AS']"
KCM,PSYCH 3160,"['KCM-AS', 'SSC-AS']"
KCM,PSYCH 3190,"['ETM-AS', 'KCM-AS']"
KCM,PSYCH 3420,"['ETM-AS', 'KCM-AS']"
KCM,PSYCH 3820,"['KCM-AS', 'SCD-AS', 'SSC-AS']"
KCM,PSYCH 3910,"['ETM-AS', 'KCM-AS', 'SSC-AS']"
KCM,PSYCH 4150,"['ALC-AS', 'ETM-AS', 'KCM-AS']"
KCM,PSYCH 4180,"['KCM-AS', 'SSC-AS']"
KCM,PSYCH 4270,"['ETM-AS', 'KCM-AS']"
KCM,PSYCH 4331,"['ETM-AS', 'KCM-AS']"
KCM,PSYCH 4420,"['ETM-AS', 'KCM-AS']"
KCM,PSYCH 4830,"['KCM-AS', 'SSC-AS']"
KCM,RELST 2257,"['ETM-AS', 'KCM-AS']"
KCM,RELST 2273,"['ETM-AS', 'GLC-AS', 'KCM-AS']"
KCM,RELST 2630,"['ALC-AS', 'ETM-AS', 'KCM-AS']"
KCM,RELST 3150,"['ETM-AS', 'HST-AS', 'KCM-AS']"
KCM,RELST 3344,"['ETM-AS', 'KCM-A']"
KCM,RELST 3416,"['ALC-AS', 'HST-AS', 'KCM-AS']"
KCM,RELST 3535,"['ETM-AS', 'KCM-AS']"
KCM,RELST 4449,"['GLC-AS', 'HST-AS', 'KCM-AS']"
KCM,ROMS 3560,"['ETM-AS', 'KCM-AS', 'SSC-AS']"
KCM,SHUM 2455,"['ETM-AS', 'KCM-AS']"
KCM,SHUM 3475,"['ETM-AS', 'KCM-AS']"
KCM,STS 2051,"['ETM-AS', 'KCM-AS', 'SCD-AS']"
KCM,STS 2061,"['ETM-AS', 'KCM-AS', 'SSC-AS']"
KCM,STS 2451,"['ETM-AS', 'KCM-AS']"
KCM,STS 2831,"['ETM-AS', 'KCM-AS']"
KCM,STS 3601,"['ETM-AS', 'KCM-AS', 'SSC-AS']"
KCM,STS 3651,"['ETM-AS', 'KCM-AS', 'SSC-AS']"
KCM,STS 3811,['KCM-AS']
KCM,STS 4101,"['KCM-AS', 'SSC-AS']"
KCM,VISST 3342,"['ETM-AS', 'KCM-AS']"
LA,AAS 2620,"['LA-AS', 'ALC-AS', 'SCD-AS']"
LA,AAS 3020,"['LA-AS', 'ALC-AS', 'SCD-AS']"
LA,AAS 3312,"['LA-AS', 'GLC-AS', 'SCD-AS']"
LA,AAS 3378,"['LA-AS', 'ALC-AS']"
LA,AAS 4020,"['LA-AS', 'HST-AS', 'SCD-AS']"
LA,AAS 4040,"['LA-AS', 'GLC-AS']"
LA,AAS 4673,"['LA-AS', 'ALC-AS']"
LA,AIIS 2600,"['CA-AG', 'D-AG', 'LA-AG']"
LA,AIIS 2850,"['CA-AG', 'LA-AG']"
LA,AIIS 3560,"['D-AG', 'LA-AG']"
LA,AIIS 4625,"['CA-AG', 'LA-AG']"
LA,AKKAD 1411,"['LA-AS', 'ALC-AS', 'HST-AS']"
LA,AMST 1312,"['LA-AS', 'ALC-AS']"
LA,AMST 1313,"['LA-AS', 'ALC-AS']"
LA,AMST 2000,"['LA-AS', 'ALC-AS', 'ETM-AS']"
LA,AMST 2060,"['LA-AS', 'ALC-AS']"
LA,AMST 2330,"['LA-AS', 'ALC-AS', 'SCD-AS']"
LA,AMST 2401,"['LA-AS', 'ALC-AS']"
LA,AMST 2405,"['LA-AS', 'ALC-AS', 'SCD-AS']"
LA,AMST 2600,"['LA-AS', 'ALC-AS', 'SCD-AS']"
LA,AMST 2620,"['LA-AS', 'ALC-AS', 'SCD-AS']"
LA,AMST 2635,"['LA-AS', 'ALC-AS', 'SCD-AS']"
LA,AMST 2675,"['LA-AS', 'ALC-AS']"
LA,AMST 2690,"['LA-AS', 'ALC-AS']"
LA,AMST 2735,"['LA-AS', 'ALC-AS']"
LA,AMST 2790,"['LA-AS', 'ALC-AS']"
LA,AMST 2870,"['LA-AS', 'ALC-AS', 'SCD-AS']"
LA,AMST 2983,['LA-AS']
LA,AMST 3025,"['LA-AS', 'ALC-AS', 'SCD-AS']"
LA,AMST 3214,"['ALC-AS', 'LA-AS']"
LA,AMST 3355,"['LA-AS', 'ALC-AS', 'SCD-AS']"
LA,AMST 3360,"['LA-AS', 'ALC-AS', 'HST-AS']"
LA,AMST 3506,"['LA-AS', 'ALC-AS', 'SCD-AS']"
LA,AMST 3515,"['LA-AS', 'ALC-AS', 'SCD-AS']"
LA,AMST 3525,"['LA-AS', 'ALC-AS']"
LA,AMST 3533,"['LA-AS', 'ALC-AS', 'HST-AS']"
LA,AMST 3562,"['LA-AS', 'SCD-AS']"
LA,AMST 3616,"['LA-AS', 'ALC-AS']"
LA,AMST 3625,"['LA-AS', 'ALC-AS', 'SCD-AS']"
LA,AMST 3650,"['LA-AS', 'ALC-AS']"
LA,AMST 3655,['LA-AS']
LA,AMST 3661,"['LA-AS', 'ALC-AS', 'HST-AS']"
LA,AMST 3670,"['LA-AS', 'ALC-AS']"
LA,AMST 3675,"['LA-AS', 'ALC-AS', 'HST-AS']"
LA,AMST 3680,"['LA-AS', 'ALC-AS', 'GLC-AS']"
LA,AMST 3717,"['LA-AS', 'ALC-AS']"
LA,AMST 3720,"['LA-AS', 'ALC-AS', 'SCD-AS']"
LA,AMST 3745,"['LA-AS', 'ALC-AS']"
LA,AMST 3764,"['LA-AS', 'GLC-AS']"
LA,AMST 3820,"['LA-AS', 'ALC-AS']"
LA,AMST 4022,"['LA-AS', 'HST-AS', 'SCD-AS']"
LA,AMST 4030,"['LA-AS', 'ALC-AS']"
LA,AMST 4519,"['LA-AS', 'ALC-AS', 'SCD-AS']"
LA,AMST 4521,['LA-AS']
LA,AMST 4525,['LA-AS']
LA,AMST 4556,"['LA-AS', 'ALC-AS', 'HST-AS']"
LA,AMST 4565,"['LA-AS', 'ALC-AS']"
LA,AMST 4615,"['LA-AS', 'ALC-AS']"
LA,AMST 4619,"['LA-AS', 'ALC-AS']"
LA,AMST 4627,"['LA-AS', 'ALC-AS']"
LA,AMST 4633,"['LA-AS', 'ALC-AS']"
LA,AMST 4665,"['LA-AS', 'ALC-AS']"
LA,AMST 4696,"['LA-AS', 'ALC-AS']"
LA,AMST 4880,"['LA-AS', 'ALC-AS']"
LA,ANTHR 3110,"['LA-AS', 'ALC-AS']"
LA,ANTHR 4401,"['LA-AS', 'ALC-AS']"
LA,ANTHR 4424,"['LA-AS', 'ALC-AS', 'SSC-AS']"
LA,ARAB 2204,"['LA-AS', 'HST-AS']"
LA,ARAB 3210,"['LA-AS', 'ALC-AS', 'GLC-AS']"
LA,ARAB 3687,"['LA-AS', 'ALC-AS']"
LA,ARAB 3700,"['LA-AS', 'ALC-AS', 'GLC-AS']"
LA,ARAB 4200,"['LA-AS', 'ALC-AS', 'GLC-AS']"
LA,ARCH 3820,"['ALC-AAP', 'LA-AAP']"
LA,ARCH 3823,"['ALC-AAP', 'LA-AAP']"
LA,ARKEO 2800,"['LA-AS', 'ALC-AS', 'HST-AS']"
LA,ARKEO 2812,"['LA-AS', 'ALC-AS', 'HST-AS']"
LA,ARKEO 3226,['LA-AS']
LA,ARKEO 3662,['LA-AS']
LA,ART 1101,"['ALC-AAP', 'LA-AAP']"
LA,ART 1102,"['ALC-AAP', 'LA-AAP']"
LA,ART 1103,"['ALC-AAP', 'LA-AAP']"
LA,ART 1104,"['ALC-AAP', 'LA-AAP']"
LA,ART 1201,"['ALC-AAP', 'LA-AAP']"
LA,ART 1401,"['ALC-AAP', 'LA-AAP']"
LA,ART 1500,"['ALC-AAP', 'LA-AAP']"
LA,ART 1503,"['ALC-AAP', 'LA-AAP']"
LA,ART 1504,"['ALC-AAP', 'LA-AAP']"
LA,ART 1505,"['ALC-AAP', 'LA-AAP']"
LA,ART 1601,"['ALC-AAP', 'LA-AAP']"
LA,ART 1602,"['ALC-AAP', 'LA-AAP']"
LA,ART 1701,"['ALC-AAP', 'LA-AAP']"
LA,ART 1901,"['ALC-AAP', 'LA-AAP']"
LA,ART 2201,"['ALC-AAP', 'LA-AAP']"
LA,ART 2301,"['ALC-AAP', 'LA-AAP']"
LA,ART 2401,"['ALC-AAP', 'LA-AAP']"
LA,ART 2503,"['ALC-AAP', 'LA-AAP']"
LA,ART 2601,"['ALC-AAP', 'LA-AAP']"
LA,ART 2701,"['ALC-AAP', 'LA-AAP']"
LA,ART 3099,"['ALC-AAP', 'LA-AAP']"
LA,ART 3199,"['ALC-AAP', 'LA-AAP']"
LA,ART 3201,"['ALC-AAP', 'LA-AAP']"
LA,ART 3202,"['ALC-AAP', 'LA-AAP']"
LA,ART 3203,"['ALC-AAP', 'LA-AAP']"
LA,ART 3205,"['ALC-AAP', 'LA-AAP']"
LA,ART 3299,"['ALC-AAP', 'LA-AAP']"
LA,ART 3304,"['ALC-AAP', 'LA-AAP']"
LA,ART 3305,"['ALC-AAP', 'LA-AAP']"
LA,ART 3306,"['ALC-AAP', 'LA-AAP']"
LA,ART 3399,"['ALC-AAP', 'LA-AAP']"
LA,ART 3401,"['ALC-AAP', 'LA-AAP']"
LA,ART 3404,"['ALC-AAP', 'LA-AAP']"
LA,ART 3499,"['ALC-AAP', 'LA-AAP']"
LA,ART 3501,"['ALC-AAP', 'LA-AAP']"
LA,ART 3502,"['ALC-AAP', 'LA-AAP']"
LA,ART 3599,"['ALC-AAP', 'LA-AAP']"
LA,ART 3601,"['ALC-AAP', 'LA-AAP']"
LA,ART 3604,"['ALC-AAP', 'LA-AAP']"
LA,ART 3606,"['ALC-AAP', 'LA-AAP']"
LA,ART 3699,"['ALC-AAP', 'LA-AAP']"
LA,ART 3704,"['ALC-AAP', 'LA-AAP']"
LA,ART 3705,"['ALC-AAP', 'LA-AAP']"
LA,ART 3707,"['ALC-AAP', 'LA-AAP']"
LA,ART 3708,"['ALC-AAP', 'LA-AAP']"
LA,ART 3799,"['ALC-AAP', 'LA-AAP']"
LA,ART 3803,"['ALC-AAP', 'LA-AAP']"
LA,ART 3899,"['ALC-AAP', 'LA-AAP']"
LA,ARTH 2000,"['LA-AS', 'ALC-AS', 'ETM-AS']"
LA,ARTH 2800,"['LA-AS', 'ALC-AS', 'HST-AS']"
LA,ARTH 3001,"['LA-AS', 'ALC-AS', 'HST-AS']"
LA,ARTH 3100,"['LA-AS', 'ALC-AS', 'HST-AS']"
LA,ARTH 3111,"['LA-AS', 'ALC-AS']"
LA,ARTH 3226,['LA-AS']
LA,ARTH 3505,"['LA-AS', 'ALC-AS', 'SCD-AS']"
LA,ARTH 3506,"['LA-AS', 'ALC-AS', 'SCD-AS']"
LA,ARTH 3672,"['LA-AS', 'ALC-AS']"
LA,ARTH 3803,"['LA-AS', 'ALC-AS']"
LA,ARTH 3820,"['LA-AS', 'ALC-AS', 'HST-AS']"
